Periodo,Cargo Capacidad s/ BESS,Cargo Capacidad c/ BESS,Ahorro Capacidad,Costo Carga BASE,Ahorro Neto,% Ahorro Neto
Enero,338931.6,101463.6,237468.0,73881.06,163586.94,48.27
Febrero,390060.88,152218.88,237842.0,66817.52,171024.48,43.85
Marzo,394549.44,156608.44,237941.0,74003.82,163937.18,41.55
Abril sub-periodo 1,415747.82,0.0,415747.82,11936.1,403811.72,97.13
Abril sub-periodo 2,392818.96,0.0,392818.96,59680.5,333138.46,84.81
Mayo,399740.88,0.0,399740.88,74003.82,325737.06,81.49
Junio,415883.1,0.0,415883.1,73009.2,342873.9,82.44
Julio,406833.7,0.0,406833.7,76377.18,330456.52,81.23
Agosto,420458.78,0.0,420458.78,76465.84,343992.94,81.81
Septiembre,402337.1,0.0,402337.1,73708.8,328628.3,81.68
Octubre Sub-periodo 1,381381.3,0.0,381381.3,61424.0,319957.3,83.89
Octubre Sub-periodo 2,376920.7,0.0,376920.7,14741.76,362178.94,96.09
Noviembre,334013.52,96050.52,237963.0,124872.0,113091.0,33.86
Diciembre,277856.28,75218.49,202637.79,71248.54,131389.25,47.29
TOTAL ANUAL,5347534.06,581559.93,4765974.13,932170.14,3833803.99,71.69
