Ano,Inversion,Ahorro en recibo CFE,Ahorro Neto Anual,Ahorro Acumulado
0,-18500000.0,0.0,0.0,-18500000.0
1,0.0,3833803.99,3833803.99,-14666196.01
2,0.0,4140508.31,4140508.31,-10525687.7
3,0.0,4471748.97,4471748.97,-6053938.73
4,0.0,4829488.89,4829488.89,-1224449.84
5,0.0,5215848.0,5215848.0,3991398.17
6,0.0,5633115.84,5633115.84,9624514.01
7,0.0,6083765.11,6083765.11,15708279.12
8,0.0,6570466.32,6570466.32,22278745.44
9,0.0,7096103.63,7096103.63,29374849.07
10,0.0,7663791.92,7663791.92,37038640.98
