Periodo,Mes,Dias,Temporada,D_Punta_Original_kW,Piso_Facturacion_kW,Potencia_BESS_kW,D_Punta_Nueva_kW,Duracion_Descarga_h,Energia_Ciclo_kWh,Energia_Mes_kWh,Tarifa_Cap,Cargo_SinBESS,Cargo_ConBESS,Ahorro_Capacidad,Ahorro_Cap_Pct,Consumo_BASE_Original_kWh,Energia_Carga_BESS_kWh,Consumo_BASE_Nuevo_kWh,Potencia_Carga_kW,Tarifa_BASE,Costo_Carga_BASE,Ahorro_Neto,Ahorro_Neto_Pct
Enero,ENERO,31,INVIERNO,785.0,785.0,550.0,235.0,4,2200.0,48400.0,431.76,338931.6,101463.6,237468.0,70.06,124328.0,68200.0,192528.0,366.67,1.0833,73881.06,163586.94,48.27
Febrero,FEBRERO,28,INVIERNO,902.0,902.0,550.0,352.0,4,2200.0,48400.0,432.44,390060.88,152218.88,237842.0,60.98,125439.0,61600.0,187039.0,366.67,1.0847,66817.52,171024.48,43.85
Marzo,MARZO,31,INVIERNO,912.0,912.0,550.0,362.0,4,2200.0,48400.0,432.62,394549.44,156608.44,237941.0,60.31,111493.0,68200.0,179693.0,366.67,1.0851,74003.82,163937.18,41.55
Abril sub-periodo 1,ABRIL,5,VERANO,961.0,961.0,1000.0,0.0,2,2000.0,44000.0,432.62,415747.82,0.0,415747.82,100.0,18343.0,11000.0,29343.0,366.67,1.0851,11936.1,403811.72,97.13
Abril sub-periodo 2,ABRIL,25,VERANO,908.0,908.0,1000.0,0.0,2,2000.0,44000.0,432.62,392818.96,0.0,392818.96,100.0,87507.0,55000.0,142507.0,366.67,1.0851,59680.5,333138.46,84.81
Mayo,MAYO,31,VERANO,924.0,924.0,1000.0,0.0,2,2000.0,44000.0,432.62,399740.88,0.0,399740.88,100.0,104679.0,68200.0,172879.0,366.67,1.0851,74003.82,325737.06,81.49
Junio,JUNIO,30,VERANO,939.0,939.0,1000.0,0.0,2,2000.0,44000.0,442.9,415883.1,0.0,415883.1,100.0,101391.0,66000.0,167391.0,366.67,1.1062,73009.2,342873.9,82.44
Julio,JULIO,31,VERANO,905.0,905.0,1000.0,0.0,2,2000.0,44000.0,449.54,406833.7,0.0,406833.7,100.0,102064.0,68200.0,170264.0,366.67,1.1199,76377.18,330456.52,81.23
Agosto,AGOSTO,31,VERANO,934.0,934.0,1000.0,0.0,2,2000.0,44000.0,450.17,420458.78,0.0,420458.78,100.0,111427.0,68200.0,179627.0,366.67,1.1212,76465.84,343992.94,81.81
Septiembre,SEPTIEMBRE,30,VERANO,902.0,902.0,1000.0,0.0,2,2000.0,44000.0,446.05,402337.1,0.0,402337.1,100.0,99516.0,66000.0,165516.0,366.67,1.1168,73708.8,328628.3,81.68
Octubre Sub-periodo 1,OCTUBRE,25,VERANO,855.0,855.0,1000.0,0.0,2,2000.0,44000.0,446.06,381381.3,0.0,381381.3,100.0,93278.0,55000.0,148278.0,366.67,1.1168,61424.0,319957.3,83.89
Octubre Sub-periodo 2,OCTUBRE,6,VERANO,845.0,845.0,1000.0,0.0,2,2000.0,44000.0,446.06,376920.7,0.0,376920.7,100.0,21856.0,13200.0,35056.0,366.67,1.1168,14741.76,362178.94,96.09
Noviembre,NOVIEMBRE,30,INVIERNO,772.0,772.0,550.0,222.0,4,2200.0,48400.0,432.66,334013.52,96050.52,237963.0,71.24,115544.0,66000.0,181544.0,366.67,1.892,124872.0,113091.0,33.86
Diciembre,DICIEMBRE,31,INVIERNO,733.0,676.0,550.0,183.0,4,2200.0,48400.0,411.03,277856.28,75218.49,202637.79,72.93,97401.0,68200.0,165601.0,366.67,1.0447,71248.54,131389.25,47.29
