Periodo,Mes,Dias,Temporada,D_Punta_Original_kW,Piso_Facturacion_kW,Potencia_BESS_kW,D_Punta_Nueva_kW,Duracion_Descarga_h,Energia_Ciclo_kWh,Energia_Mes_kWh,Tarifa_Cap,Cargo_SinBESS,Cargo_ConBESS,Ahorro_Capacidad,Ahorro_Cap_Pct,Consumo_BASE_Original_kWh,Energia_Carga_BESS_kWh,Consumo_BASE_Nuevo_kWh,Potencia_Carga_kW,Tarifa_BASE,Costo_Carga_BASE,Ahorro_Neto,Ahorro_Neto_Pct
Enero,ENERO,31,INVIERNO,785.0,785.0,120.0,665.0,4,480,10560,431.76,338931.6,287120.4,51811.2,15.29,124328.0,15500,139828.0,83.33,1.0833,16791.15,35020.05,10.33
Febrero,FEBRERO,28,INVIERNO,902.0,902.0,120.0,782.0,4,480,10560,432.44,390060.88,338168.08,51892.8,13.3,125439.0,14000,139439.0,83.33,1.0847,15185.8,36707.0,9.41
Marzo,MARZO,31,INVIERNO,912.0,912.0,120.0,792.0,4,480,10560,432.62,394549.44,342635.04,51914.4,13.16,111493.0,15500,126993.0,83.33,1.0851,16819.05,35095.35,8.9
Abril sub-periodo 1,ABRIL,5,VERANO,961.0,961.0,120.0,841.0,2,240,5280,432.62,415747.82,363833.42,51914.4,12.49,18343.0,2500,20843.0,83.33,1.0851,2712.75,49201.65,11.83
Abril sub-periodo 2,ABRIL,25,VERANO,908.0,908.0,120.0,788.0,2,240,5280,432.62,392818.96,340904.56,51914.4,13.22,87507.0,12500,100007.0,83.33,1.0851,13563.75,38350.65,9.76
Mayo,MAYO,31,VERANO,924.0,924.0,120.0,804.0,2,240,5280,432.62,399740.88,347826.48,51914.4,12.99,104679.0,15500,120179.0,83.33,1.0851,16819.05,35095.35,8.78
Junio,JUNIO,30,VERANO,939.0,939.0,120.0,819.0,2,240,5280,442.9,415883.1,362735.1,53148.0,12.78,101391.0,15000,116391.0,83.33,1.1062,16593.0,36555.0,8.79
Julio,JULIO,31,VERANO,905.0,905.0,120.0,785.0,2,240,5280,449.54,406833.7,352888.9,53944.8,13.26,102064.0,15500,117564.0,83.33,1.1199,17358.45,36586.35,8.99
Agosto,AGOSTO,31,VERANO,934.0,934.0,120.0,814.0,2,240,5280,450.17,420458.78,366438.38,54020.4,12.85,111427.0,15500,126927.0,83.33,1.1212,17378.6,36641.8,8.71
Septiembre,SEPTIEMBRE,30,VERANO,902.0,902.0,120.0,782.0,2,240,5280,446.05,402337.1,348811.1,53526.0,13.3,99516.0,15000,114516.0,83.33,1.1168,16752.0,36774.0,9.14
Octubre Sub-periodo 1,OCTUBRE,25,VERANO,855.0,855.0,120.0,735.0,2,240,5280,446.06,381381.3,327854.1,53527.2,14.04,93278.0,12500,105778.0,83.33,1.1168,13960.0,39567.2,10.37
Octubre Sub-periodo 2,OCTUBRE,6,VERANO,845.0,845.0,120.0,725.0,2,240,5280,446.06,376920.7,323393.5,53527.2,14.2,21856.0,3000,24856.0,83.33,1.1168,3350.4,50176.8,13.31
Noviembre,NOVIEMBRE,30,INVIERNO,772.0,772.0,120.0,652.0,4,480,10560,432.66,334013.52,282094.32,51919.2,15.54,115544.0,15000,130544.0,83.33,1.892,28380.0,23539.2,7.05
Diciembre,DICIEMBRE,31,INVIERNO,733.0,676.0,120.0,613.0,4,480,10560,411.03,277856.28,251961.39,25894.89,9.32,97401.0,15500,112901.0,83.33,1.0447,16192.85,9702.04,3.49
