Periodo,Mes,Dias,Temporada,D_Punta_Original_kW,Piso_Facturacion_kW,Potencia_BESS_kW,D_Punta_Nueva_kW,Duracion_Descarga_h,Energia_Ciclo_kWh,Energia_Mes_kWh,Tarifa_Cap,Cargo_SinBESS,Cargo_ConBESS,Ahorro_Capacidad,Ahorro_Cap_Pct,Consumo_BASE_Original_kWh,Energia_Carga_BESS_kWh,Consumo_BASE_Nuevo_kWh,Potencia_Carga_kW,Tarifa_BASE,Costo_Carga_BASE,Ahorro_Neto,Ahorro_Neto_Pct
Enero,ENERO,31,INVIERNO,785.0,785.0,100.0,685.0,4,400,8800,431.76,338931.6,295755.6,43176.0,12.74,124328.0,12400,136728.0,66.67,1.0833,13432.92,29743.08,8.78
Febrero,FEBRERO,28,INVIERNO,902.0,902.0,100.0,802.0,4,400,8800,432.44,390060.88,346816.88,43244.0,11.09,125439.0,11200,136639.0,66.67,1.0847,12148.64,31095.36,7.97
Marzo,MARZO,31,INVIERNO,912.0,912.0,100.0,812.0,4,400,8800,432.62,394549.44,351287.44,43262.0,10.96,111493.0,12400,123893.0,66.67,1.0851,13455.24,29806.76,7.55
Abril sub-periodo 1,ABRIL,5,VERANO,961.0,961.0,100.0,861.0,2,200,4400,432.62,415747.82,372485.82,43262.0,10.41,18343.0,2000,20343.0,66.67,1.0851,2170.2,41091.8,9.88
Abril sub-periodo 2,ABRIL,25,VERANO,908.0,908.0,100.0,808.0,2,200,4400,432.62,392818.96,349556.96,43262.0,11.01,87507.0,10000,97507.0,66.67,1.0851,10851.0,32411.0,8.25
Mayo,MAYO,31,VERANO,924.0,924.0,100.0,824.0,2,200,4400,432.62,399740.88,356478.88,43262.0,10.82,104679.0,12400,117079.0,66.67,1.0851,13455.24,29806.76,7.46
Junio,JUNIO,30,VERANO,939.0,939.0,100.0,839.0,2,200,4400,442.9,415883.1,371593.1,44290.0,10.65,101391.0,12000,113391.0,66.67,1.1062,13274.4,31015.6,7.46
Julio,JULIO,31,VERANO,905.0,905.0,100.0,805.0,2,200,4400,449.54,406833.7,361879.7,44954.0,11.05,102064.0,12400,114464.0,66.67,1.1199,13886.76,31067.24,7.64
Agosto,AGOSTO,31,VERANO,934.0,934.0,100.0,834.0,2,200,4400,450.17,420458.78,375441.78,45017.0,10.71,111427.0,12400,123827.0,66.67,1.1212,13902.88,31114.12,7.4
Septiembre,SEPTIEMBRE,30,VERANO,902.0,902.0,100.0,802.0,2,200,4400,446.05,402337.1,357732.1,44605.0,11.09,99516.0,12000,111516.0,66.67,1.1168,13401.6,31203.4,7.76
Octubre Sub-periodo 1,OCTUBRE,25,VERANO,855.0,855.0,100.0,755.0,2,200,4400,446.06,381381.3,336775.3,44606.0,11.7,93278.0,10000,103278.0,66.67,1.1168,11168.0,33438.0,8.77
Octubre Sub-periodo 2,OCTUBRE,6,VERANO,845.0,845.0,100.0,745.0,2,200,4400,446.06,376920.7,332314.7,44606.0,11.83,21856.0,2400,24256.0,66.67,1.1168,2680.32,41925.68,11.12
Noviembre,NOVIEMBRE,30,INVIERNO,772.0,772.0,100.0,672.0,4,400,8800,432.66,334013.52,290747.52,43266.0,12.95,115544.0,12000,127544.0,66.67,1.892,22704.0,20562.0,6.16
Diciembre,DICIEMBRE,31,INVIERNO,733.0,676.0,100.0,633.0,4,400,8800,411.03,277856.28,260181.99,17674.29,6.36,97401.0,12400,109801.0,66.67,1.0447,12954.28,4720.01,1.7
