anio,mes,categoria_tarifaria,descripcion_categoria_tarifaria,periodo_horario,cargo,unidades,division_tarifaria,tarifa_transmision,tarifa_distribucion,tarifa_cenace,tarifa_oper_suministro,cargo_scnmem,cargo_generacion,cargo_capacidad,total
2017,diciembre,GDMTH,Gran demanda en media tensiÃ³n horaria,No aplica,Ãºnico,Pesos mexicanos por mes,Baja California,,,,672.39,,,,672.39
2017,diciembre,GDMTH,Gran demanda en media tensiÃ³n horaria,Base,variable,Pesos mexianos por kilowatt hora,Baja California,0.1521,,0.007,,0.0054,0.4369,,0.6014
2017,diciembre,GDMTH,Gran demanda en media tensiÃ³n horaria,Itermedio,variable,Pesos mexianos por kilowatt hora,Baja California,0.1521,,0.007,,0.0054,0.4638,,0.6283
2017,diciembre,GDMTH,Gran demanda en media tensiÃ³n horaria,Punta,variable,Pesos mexianos por kilowatt hora,Baja California,0.1521,,0.007,,0.0054,0.3951,,0.5596
2017,diciembre,GDMTH,Gran demanda en media tensiÃ³n horaria,No aplica,fijo,Pesos mexicanos por kilowatt,Baja California,,81.68,,,,,135.63,217.31
2018,enero,GDMTH,Gran demanda en media tensiÃ³n horaria,No aplica,Ãºnico,Pesos mexicanos por mes,Baja California,,,,655.38,,,,655.38
2018,enero,GDMTH,Gran demanda en media tensiÃ³n horaria,Base,variable,Pesos mexianos por kilowatt hora,Baja California,0.1585,,0.0075,,0.0054,0.1913,,0.3627
2018,enero,GDMTH,Gran demanda en media tensiÃ³n horaria,Itermedio,variable,Pesos mexianos por kilowatt hora,Baja California,0.1585,,0.0075,,0.0054,0.3465,,0.5179
2018,enero,GDMTH,Gran demanda en media tensiÃ³n horaria,Punta,variable,Pesos mexianos por kilowatt hora,Baja California,0.1585,,0.0075,,0.0054,0,,0.1714
2018,enero,GDMTH,Gran demanda en media tensiÃ³n horaria,No aplica,fijo,Pesos mexicanos por kilowatt,Baja California,,83.98,,,,,164,247.98
2018,febrero,GDMTH,Gran demanda en media tensiÃ³n horaria,No aplica,Ãºnico,Pesos mexicanos por mes,Baja California,,,,655.38,,,,655.38
2018,febrero,GDMTH,Gran demanda en media tensiÃ³n horaria,Base,variable,Pesos mexianos por kilowatt hora,Baja California,0.1585,,0.0075,,0.0054,0.2086,,0.38
2018,febrero,GDMTH,Gran demanda en media tensiÃ³n horaria,Itermedio,variable,Pesos mexianos por kilowatt hora,Baja California,0.1585,,0.0075,,0.0054,0.3777,,0.5491
2018,febrero,GDMTH,Gran demanda en media tensiÃ³n horaria,Punta,variable,Pesos mexianos por kilowatt hora,Baja California,0.1585,,0.0075,,0.0054,0,,0.1714
2018,febrero,GDMTH,Gran demanda en media tensiÃ³n horaria,No aplica,fijo,Pesos mexicanos por kilowatt,Baja California,,83.98,,,,,178.76,262.74
2018,marzo,GDMTH,Gran demanda en media tensiÃ³n horaria,No aplica,Ãºnico,Pesos mexicanos por mes,Baja California,,,,655.38,,,,655.38
2018,marzo,GDMTH,Gran demanda en media tensiÃ³n horaria,Base,variable,Pesos mexianos por kilowatt hora,Baja California,0.1585,,0.0061,,0.0054,0.2397,,0.4097
2018,marzo,GDMTH,Gran demanda en media tensiÃ³n horaria,Itermedio,variable,Pesos mexianos por kilowatt hora,Baja California,0.1585,,0.0061,,0.0054,0.434,,0.604
2018,marzo,GDMTH,Gran demanda en media tensiÃ³n horaria,Punta,variable,Pesos mexianos por kilowatt hora,Baja California,0.1585,,0.0061,,0.0054,0,,0.17
2018,marzo,GDMTH,Gran demanda en media tensiÃ³n horaria,No aplica,fijo,Pesos mexicanos por kilowatt,Baja California,,83.98,,,,,205.39,289.37
2018,abril,GDMTH,Gran demanda en media tensiÃ³n horaria,No aplica,Ãºnico,Pesos mexicanos por mes,Baja California,,,,655.38,,,,655.38
2018,abril,GDMTH,Gran demanda en media tensiÃ³n horaria,Base,variable,Pesos mexianos por kilowatt hora,Baja California,0.1585,,0.0061,,0.0054,0.2636,,0.4336
2018,abril,GDMTH,Gran demanda en media tensiÃ³n horaria,Itermedio,variable,Pesos mexianos por kilowatt hora,Baja California,0.1585,,0.0061,,0.0054,0.4772,,0.6472
2018,abril,GDMTH,Gran demanda en media tensiÃ³n horaria,Punta,variable,Pesos mexianos por kilowatt hora,Baja California,0.1585,,0.0061,,0.0054,0,,0.17
2018,abril,GDMTH,Gran demanda en media tensiÃ³n horaria,No aplica,fijo,Pesos mexicanos por kilowatt,Baja California,,83.98,,,,,225.85,309.83
